application_id,age,gender,marital_status,education,employment_type,annual_income,credit_score,existing_loans_count,loan_amount,loan_term_months,loan_purpose,region,application_date,approval_status,default_flag
LN100670,63,Female,Married,Graduate,Salaried,67300.0,620.0,4,10600.0,24,Education,West,2024-05-24,Approved,0
LN102335,45,Male,Married,Post Graduate,Self-Employed,21200.0,722.0,0,9000.0,60,Auto,North,2024-05-10,Approved,0
LN102503,25,Male,Married,Not Graduate,Self-Employed,45700.0,746.0,1,11800.0,12,Education,South,2023-10-18,Approved,0
LN102586,37,Male,Married,Not Graduate,Self-Employed,43200.0,693.0,0,10400.0,24,Personal,East,2023-12-21,Rejected,
LN100819,65,Female,Single,Post Graduate,Salaried,41000.0,718.0,4,21100.0,48,Business,East,2023-11-02,Rejected,
LN101961,65,Female,Married,Graduate,Salaried,63700.0,656.0,1,17100.0,36,Debt Consolidation,Central,2023-09-03,Rejected,
LN100832,41,Female,Married,Graduate,Business Owner,86000.0,589.0,2,52500.0,60,Debt Consolidation,West,2023-08-26,Rejected,
LN103174,65,Male,Married,Not Graduate,Salaried,80000.0,844.0,4,34000.0,24,Debt Consolidation,North,2023-09-06,Approved,0
LN102591,38,Female,Single,Post Graduate,Business Owner,88000.0,684.0,0,14200.0,36,Debt Consolidation,West,2023-04-11,Approved,0
LN101901,44,Female,Married,Graduate,Salaried,52700.0,670.0,3,21500.0,24,Business,North,2024-06-18,Approved,0
LN101244,60,Male,Married,Graduate,Self-Employed,56400.0,633.0,0,11500.0,48,Personal,West,2024-03-29,Rejected,
LN101387,35,Female,Single,Post Graduate,Self-Employed,42300.0,730.0,1,11100.0,36,Auto,East,2023-09-01,Approved,0
LN101528,21,Female,Married,Post Graduate,Self-Employed,104400.0,475.0,0,27200.0,48,Business,Central,2024-06-29,Rejected,
LN103024,37,Male,Widowed,Graduate,Self-Employed,87500.0,471.0,4,37300.0,60,Auto,North,2024-06-01,Rejected,
LN100833,27,Male,Single,Not Graduate,Salaried,549500.0,681.0,0,231000.0,84,Debt Consolidation,West,2024-07-20,Approved,0
LN102634,24,Male,Single,Not Graduate,Business Owner,101000.0,630.0,4,27400.0,24,Debt Consolidation,Central,2024-03-12,Rejected,
LN100964,63,Female,Married,Graduate,Salaried,74100.0,720.0,3,43300.0,24,Auto,South,2023-05-23,Approved,0
LN100034,60,Female,Single,Graduate,Business Owner,53800.0,682.0,2,22700.0,48,Education,East,2023-01-29,Rejected,
LN100121,51,Male,Single,Not Graduate,Salaried,40700.0,556.0,2,20500.0,36,Personal,North,2023-11-15,Rejected,
